,repo_name,method_invocations
778,YashVakil96/Unity,6
779,hiphopproject/unity,9
780,ooggoogg/unity,8
781,dcaceresb/Unity,6
782,ShiralievaSamira/Unity,0
783,KelseyCaron/Unity,2
784,Shapilova/unity,62
785,SZeravic/Unity,23
786,AriqNW/Unity,18
787,monkey0901/Unity,10
788,StPaulStylee/Unity,3
789,idelifbas/Unity,20
790,DanielChunLei/unity,1
791,mosamircs/unity,6
